,Tweet_desc,Sentiment_Polarity,Sentiment_Subjectivity
0,"RT @kabirisGod: @narendramodi @BCCIWomen #WWC17Final 
ज़िंदगी के क्रिकेट में हार पक्की है यदि सही समय पर भक्ति रूपी खेल शुरू नही किया और दा…",0.0,0.0
1,RT @r_p_rastogi: @tyagi_ajay1 @Gravim71 @rjraunac @BJP4India @AmitShah @narendramodi Italians ke kache dhote dhote inhe Indians hi outsider…,0.0,0.0
2,@HDL_OM @SuprWarrior @YoddhaHDL @trueaum @vandana_7 @MUMGzb @AshramGzb @AsaramBapuJi @narendramodi @BalramOm… https://t.co/Coxbo2zWOr,0.0,0.0
3,RT @narendramodi: Attended the farewell for President Pranab Mukherjee at Parliament. @RashtrapatiBhvn https://t.co/TDwKcH5Bde,0.0,0.0
4,RT @ValaAfshar: India is the world's fastest-growing large economy @narendramodi 🇮🇳 https://t.co/wPxjQ5XZ9z,0.21428571428571427,0.42857142857142855
5,RT @narendramodi: Our women cricketers gave their best today. They have shown remarkable tenacity &amp; skill through the World Cup. Proud of t…,0.85,0.6833333333333332
6,"@narendramodi ji why don't you make reservations equal fr all, why obc gen category people only hanged fr ths ,othr minor caste gttng benift",-0.016666666666666666,0.48333333333333334
7,"RT @dasgurucharan10: @narendramodi @BCCIWomen #WWC17Final 
 गुरु हो जा भक्ति करना शुरू। ये खेल हर 4 साल बाद आएंगे पर ये समय बाद मे नही आएगा…",0.0,0.0
8,RT @narendramodi: Our women cricketers gave their best today. They have shown remarkable tenacity &amp; skill through the World Cup. Proud of t…,0.85,0.6833333333333332
9,"RT @iNitin_Patil: @narendramodi @AmitShah
Pl see the result of poll and then think for 2019 election.. https://t.co/8QiFI7hS4b",0.0,0.0
10,RT @narendramodi: Our women cricketers gave their best today. They have shown remarkable tenacity &amp; skill through the World Cup. Proud of t…,0.85,0.6833333333333332
11,@pramod08575705 @narendramodi @BCCIWomen #StopPaidMedia misleading  people by fake news fake story  about Hindu sai… https://t.co/Z10VnYj6ER,-0.5,1.0
12,"RT @kabirisGod: @narendramodi @BCCIWomen #WWC17Final 
ज़िंदगी के क्रिकेट में हार पक्की है यदि सही समय पर भक्ति रूपी खेल शुरू नही किया और दा…",0.0,0.0
13,"RT @pramod08575705: @narendramodi @BCCIWomen महोदय जी , निर्दोष हिंदू संतों को बेवजह अपमानित करना भ्रष्ट मीडिया का उद्देश्य बन चुका है।
#St…",0.0,0.0
